id,name,type,typecode,lng,lat
B0FFHD7JNM,天津市红桥区三条石街大胡同社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.1814686118222,39.145213312550425
B0HDTHJVN5,望海楼社区卫生服务站(金庭道店),医疗保健服务;综合医院;卫生院,090102,117.19327885264428,39.14886404999325
B0FFGI10JG,鸿顺里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18182460725805,39.15812922558172
B0H6G6TQHG,鼓楼街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.17035538857417,39.143673931648294
B0FFFVHMPI,鼓楼街天康园社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.1687834075799,39.1438518910484
B0016164K6,三条石街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.16831024332835,39.15387500729433
B0FFHVW5HM,河北区鸿顺里街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.1895927402959,39.15891108627884
B0FFFA20S0,御河湾社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.16639450176646,39.15487482591952
B00160EEF2,裕德里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18494923186704,39.1330797156309
B0016060XG,河北区望海楼街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.20130062281869,39.15452666155084
B0016166IZ,西关街社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.16341163219593,39.141055516715866
B0L0JNDWK7,新春花苑社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.1617611460881,39.14407361835363
B00160EEY8,红桥区芥园街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.15870603737294,39.147235035307716
B001615639,和平区南市街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.17976351693771,39.1297875614412
B001603106,河东区春华街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.20555336852769,39.143073243299675
B0JRBX0XQG,西沽街三江里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.16708075850813,39.16304924864807
B00160ECPQ,光复道街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.20825074202823,39.14839043076443
B00160DFOA,兴南街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.17024496848774,39.12958121892341
B00160EFA2,铃铛阁街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.1553524784753,39.14234778280004
B001610Z5B,芥园街水西园社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.15517346504217,39.14774321832084
B0JRZS7AF1,福方里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18092493367082,39.12712724827407
B0H2OMBG7L,河北区鸿顺里街社区卫生服务中心(六马路社区卫生服务站),医疗保健服务;综合医院;卫生院,090102,117.19541967968685,39.16794703646069
B0FFM1A37Q,天津市南开区广开街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.16002935867408,39.132630279757436
B00160EFO2,新津社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18973812408343,39.126107031292236
B0FFF8ZU7Y,昆裕里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.16920826834168,39.127609477724825
B00160CRO5,和平区劝业场街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.18613839425188,39.12413217534022
B0FFLCD2IP,和平区劝业场街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.19020396340822,39.1254302084893
B0FFKK4DYZ,河北区宁园街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.20806971077101,39.16292654425336
B00160D1N3,静园社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18296693198445,39.12405772096633
B0LAM1BEHZ,怀远里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.17543726852246,39.124713777908305
B0FFHIK4M9,新开河街东华里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.17592708236552,39.172750934157676
B0LR9BPJN3,宁园街社区卫生服务中心-发热门诊,医疗保健服务;综合医院;卫生院,090102,117.20807571048046,39.16298051953739
B0KD05WET2,弘丽园社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.14877409841678,39.14745987098654
B0FFGY2081,真诚里社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.21599506017803,39.14783926051181
B001602D40,劝业场街社区卫生服务中心新疆路社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,117.18140640556172,39.12226505239988
B0LRF57QN0,芥园街社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,117.14874904738531,39.14751979092578
