id,name,type,typecode,lng,lat
BV10964710,东北角(地铁站),交通设施服务;地铁站;地铁站,150500,117.18438437185061,39.147987770671925
BV11396197,河北大街(地铁站),交通设施服务;地铁站;地铁站,150500,117.17350937177918,39.15092244410773
BV09089109,金纬路(地铁站),交通设施服务;地铁站;地铁站,150500,117.19125399053043,39.15434153008544
BV10964713,广东会馆(地铁站),交通设施服务;地铁站;地铁站,150500,117.1737250679491,39.14071196509728
BX09915491,东南角地铁站E口,交通设施服务;地铁站;出入口,150501,117.18382179507303,39.13693543175059
BV10040681,东南角(地铁站),交通设施服务;地铁站;地铁站,150500,117.1841094354582,39.135820605014004
BX09904007,东南角地铁站D口,交通设施服务;地铁站;出入口,150501,117.18496385324882,39.13627181498583
BX10014526,东南角地铁站B1口,交通设施服务;地铁站;出入口,150501,117.18365267611944,39.13554997172956
BX09907741,鼓楼地铁站D口,交通设施服务;地铁站;出入口,150501,117.17651479732595,39.136202804325315
BX10035851,东南角地铁站B2口,交通设施服务;地铁站;出入口,150501,117.18388810450553,39.13540047278363
BV10040302,西北角(地铁站),交通设施服务;地铁站;地铁站,150500,117.16530363748066,39.145472406453095
BX10014524,东南角地铁站C口,交通设施服务;地铁站;出入口,150501,117.18475760539329,39.13542596822612
BV10040559,鼓楼(地铁站),交通设施服务;地铁站;地铁站,150500,117.17488981978669,39.136054915631505
BX10014619,西北角地铁站D口,交通设施服务;地铁站;出入口,150501,117.16604008631333,39.14500606534909
BX10014617,西北角地铁站A口,交通设施服务;地铁站;出入口,150501,117.16561817412489,39.145919727258295
BX09914051,西北角地铁站出入口,交通设施服务;地铁站;出入口,150501,117.16583859177314,39.14590614818496
BV09334358,建国道意风区(地铁站),交通设施服务;地铁站;地铁站,150500,117.1945842186567,39.1379686421915
BX10014616,西北角地铁站C口,交通设施服务;地铁站;出入口,150501,117.1651093704329,39.144689512288664
BX09907739,鼓楼地铁站B口,交通设施服务;地铁站;出入口,150501,117.17404228504897,39.13576253099599
BX09907740,鼓楼地铁站C口,交通设施服务;地铁站;出入口,150501,117.17520046526035,39.135495823591725
BX10014618,西北角地铁站B口,交通设施服务;地铁站;出入口,150501,117.16414732899395,39.14647963739166
BX10014491,建国道意风区地铁站B口,交通设施服务;地铁站;出入口,150501,117.19436495049688,39.13747060046577
BV10045172,金狮桥(地铁站),交通设施服务;地铁站;地铁站,150500,117.20146140200336,39.15002757445146
BX10014492,建国道意风区地铁站C口,交通设施服务;地铁站;出入口,150501,117.1959161764347,39.13817557158572
BX09916237,鼓楼地铁站E口,交通设施服务;地铁站;出入口,150501,117.17507432056435,39.134797013367724
