name,type,lng,lat
博颐堂医院,医疗保健服务;综合医院;综合医院,117.18378663734215,39.14560116047599
天津市红桥区三条石街大胡同社区卫生服务站,医疗保健服务;综合医院;卫生院,117.1814686118222,39.145213312550425
天津市红桥区口腔医院,医疗保健服务;专科医院;口腔医院,117.18110496362081,39.14522565886051
冬青医院,医疗保健服务;综合医院;综合医院,117.1859121694164,39.14659224313612
中西汇通医社,医疗保健服务;诊所;诊所,117.18573519806385,39.14398350443684
天津河北北洋医院,医疗保健服务;综合医院;综合医院,117.1892867859791,39.146700871315716
博粹中医医院,医疗保健服务;综合医院;综合医院,117.1844848488067,39.15349165414702
靓梵医疗美容,医疗保健服务;专科医院;整形美容,117.18444436248586,39.14097908098085
骨卫士·众益堂中医门诊,医疗保健服务;诊所;诊所,117.17502298007189,39.15251228366906
东和门诊(东河沿大街),医疗保健服务;诊所;诊所,117.19053817696926,39.15173092251176
麦芽口腔(东沿河大街分院),医疗保健服务;专科医院;口腔医院,117.1907825921405,39.15154643211925
海源中西医门诊部,医疗保健服务;诊所;诊所,117.18927292906803,39.15329690247475
天津爱馨口腔门诊,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,117.19230646632855,39.147888085470306
国强中医门诊部,医疗保健服务;诊所;诊所,117.19087969053366,39.15199632161314
君诚口腔(鼓楼院区),医疗保健服务;专科医院;口腔医院,117.17553824891881,39.14212645189425
天津微尔美口腔,医疗保健服务;专科医院;口腔医院,117.17415433841506,39.15275853759109
YMAY悦美医疗美容,医疗保健服务;专科医院;整形美容,117.18212444600232,39.13989766758646
天津河北长庚眼耳鼻喉医院,医疗保健服务;专科医院;耳鼻喉医院,117.1899189488965,39.15354382307186
维他滴(天津旺海诊所),医疗保健服务;诊所;诊所,117.19138353640605,39.14374208454556
星玺未来医美·飞顿DPL黑金超光子,医疗保健服务;专科医院;整形美容,117.18063780182736,39.13992101319389
中慈·星玺医疗美容,医疗保健服务;专科医院;整形美容,117.18048954128376,39.13988477024951
本草门诊部,医疗保健服务;诊所;诊所,117.19104183039437,39.15293702371642
望海楼社区卫生服务站(金庭道店),医疗保健服务;综合医院;卫生院,117.19327885264428,39.14886404999325
天津南开颐康堂中医门诊,医疗保健服务;诊所;诊所,117.17387013855036,39.14228328837891
河北老中西医医院,医疗保健服务;综合医院;综合医院,117.18977558486479,39.154583966015885
天津市中医药研究院附属医院体检中心,医疗保健服务;综合医院;三级甲等医院,117.17112850837202,39.14628980195689
天津市中医药研究院附属医院发热门诊,医疗保健服务;综合医院;三级甲等医院,117.17126282417186,39.14578635366214
天津市中医药研究院附属医院住院部,医疗保健服务;综合医院;三级甲等医院,117.17104135794126,39.14618670160449
雅尔口腔,医疗保健服务;专科医院;口腔医院,117.19406940920717,39.14612193812644
北京同仁堂(金纬路店),医疗保健服务;医药保健销售店;药房|医疗保健服务;诊所;诊所,117.19307211712979,39.15215875185508
俊硕口腔,医疗保健服务;专科医院;口腔医院,117.17104176360961,39.150876894415184
天津市中医药研究院附属医院卒中中心,医疗保健服务;综合医院;三级甲等医院,117.17063665064858,39.14577319607949
天津市中医药研究院附属医院急诊部,医疗保健服务;综合医院;三级甲等医院,117.1705885585547,39.14578709816426
天津市中医药研究院附属医院,医疗保健服务;综合医院;三级甲等医院,117.17048833733578,39.14604675576616
天津同春中医门诊,医疗保健服务;诊所;诊所,117.17900201062412,39.13873479260318
天津河北区京医中医诊所,医疗保健服务;诊所;诊所,117.19328636012526,39.152851677569885
中康口腔,医疗保健服务;专科医院;口腔医院,117.18749954550769,39.156873800499895
梁元中医门诊部,医疗保健服务;诊所;诊所,117.19449043684175,39.15095070475286
天津春语华澳医疗美容门诊,医疗保健服务;专科医院;整形美容,117.19310637731108,39.142607528905415
天津市中医药研究院附属医院病案科,医疗保健服务;综合医院;三级甲等医院,117.16977900702197,39.146020449034
天津市中医药研究院附属医院中医治未病中心,医疗保健服务;综合医院;三级甲等医院,117.16980110057983,39.145610735932046
今日医综格综合门诊,医疗保健服务;诊所;诊所,117.17734099477534,39.1386988063272
国医堂门诊部(瑞海名苑店),医疗保健服务;诊所;诊所,117.19344089891064,39.14255808826958
鸿顺里社区卫生服务站,医疗保健服务;综合医院;卫生院,117.18182460725805,39.15812922558172
天津市中医药研究院附属医院健康管理中心,医疗保健服务;综合医院;三级甲等医院,117.16957569207544,39.145487389299426
鼓楼街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.17035538857417,39.143673931648294
天津市水阁医院,医疗保健服务;专科医院;专科医院,117.17010490320102,39.14378839599659
美奥口腔(天津总院),医疗保健服务;专科医院;口腔医院,117.17793414939314,39.13812722768914
天津捷尔美医疗美容,医疗保健服务;专科医院;整形美容,117.176404296211,39.138556184676126
天津河北春晖口腔门诊部,医疗保健服务;专科医院;口腔医院,117.19352657208222,39.15409631423876
佰年仁医堂中医馆,医疗保健服务;诊所;诊所,117.17712067505371,39.138041801010104
大慈中医,医疗保健服务;诊所;诊所,117.17212908449757,39.140757982669044
