name,type,lng,lat
猫咪铃铛成人用品店,医疗保健服务;医药保健销售店;医疗保健用品,117.18183098035148,39.14737665803081
爱爱谷成人情趣超市,医疗保健服务;医药保健销售店;医疗保健用品,117.18230898438777,39.14611625837739
博颐堂医院,医疗保健服务;综合医院;综合医院,117.18378663734215,39.14560116047599
天津市红桥区三条石街大胡同社区卫生服务站,医疗保健服务;综合医院;卫生院,117.1814686118222,39.145213312550425
天津市红桥区口腔医院,医疗保健服务;专科医院;口腔医院,117.18110496362081,39.14522565886051
欢乐谷情趣优品,医疗保健服务;医药保健销售店;医疗保健用品,117.18184831066536,39.14501010755679
爱心献血屋,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18326480009935,39.14502759204545
冬青医院,医疗保健服务;综合医院;综合医院,117.1859121694164,39.14659224313612
天津美术学院健康驿站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18655886110484,39.14979143259969
足浴用品(北方美博城店),医疗保健服务;医药保健销售店;医疗保健用品,117.18574911785242,39.144805035271204
广利小儿推拿,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18230431130135,39.14346883865123
中西汇通医社,医疗保健服务;诊所;诊所,117.18573519806385,39.14398350443684
美焱新世纪美容养生工作室,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18188865724525,39.14283648384949
敬一堂药店(天津壹街区静德花园店),医疗保健服务;医药保健销售店;药房,117.18044006477028,39.14294883984973
天津河北北洋医院,医疗保健服务;综合医院;综合医院,117.1892867859791,39.146700871315716
博粹中医医院,医疗保健服务;综合医院;综合医院,117.1844848488067,39.15349165414702
橙趣超市成人用品店,医疗保健服务;医药保健销售店;医疗保健用品,117.18511595080923,39.153370818513594
脊中堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17624023407235,39.14455827700061
瑶瑶堂头疗馆(天霖园店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17833626652505,39.14297703920571
蜗艾蜗家艾公馆,医疗保健服务;医药保健销售店;医疗保健用品,117.17679536304948,39.14369380952735
心理咨询与艾瑞克森催眠工作室,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17568119558119,39.14462821168842
德盛堂(张自忠路店),医疗保健服务;医药保健销售店;药房,117.18633039049757,39.142552383074026
琦桐大药房,医疗保健服务;医药保健销售店;药房,117.1903380717029,39.15001861854324
老北京修脚(金钟公寓店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19052540835085,39.14973909265547
天津市川云大药房(金明里2号店),医疗保健服务;医药保健销售店;药房,117.18991624422453,39.15117423412679
艾世家养生馆,医疗保健服务;医药保健销售店;医疗保健用品,117.17589559436334,39.152488898396676
尚佳时尚肩颈腰腿康复,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19079379850535,39.15005634138516
艾灸馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17588756766432,39.152582827599744
郑远元专业修脚房(翔纬路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19117352137715,39.149131512925806
懿枝堂,医疗保健服务;医药保健销售店;药房,117.1760007350551,39.15290684127862
一心禅拍,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17686567681855,39.14223481404751
靓梵医疗美容,医疗保健服务;专科医院;整形美容,117.18444436248586,39.14097908098085
骨卫士·众益堂中医门诊,医疗保健服务;诊所;诊所,117.17502298007189,39.15251228366906
东和门诊(东河沿大街),医疗保健服务;诊所;诊所,117.19053817696926,39.15173092251176
桔子的疗愈小屋,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18465374433467,39.140817541264155
瑞澄大药房(东河沿大街店),医疗保健服务;医药保健销售店;药房,117.19070546650937,39.1515632961441
麦芽口腔(东沿河大街分院),医疗保健服务;专科医院;口腔医院,117.1907825921405,39.15154643211925
津派舍艺健康中心,医疗保健服务;医药保健销售店;医疗保健用品,117.17651656033028,39.15388020322267
敬信大药房(元康里店),医疗保健服务;医药保健销售店;药房,117.18882515905659,39.15358298712263
海源中西医门诊部,医疗保健服务;诊所;诊所,117.18927292906803,39.15329690247475
爱巢宠物诊所,医疗保健服务;动物医疗场所;宠物诊所,117.17748926740153,39.15446862414366
敬信大药房(十三店),医疗保健服务;医药保健销售店;药房,117.173877908072,39.1442151425903
美年大健康体检中心(鼓楼分院),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.1795056746057,39.1406725332534
天津爱馨口腔门诊,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,117.19230646632855,39.147888085470306
旭海大药房,医疗保健服务;医药保健销售店;药房,117.17580127140263,39.1536650234438
国强中医门诊部,医疗保健服务;诊所;诊所,117.19087969053366,39.15199632161314
老百姓大药房(鼓楼店),医疗保健服务;医药保健销售店;药房,117.17948566042992,39.14049960128448
国色天香香膏铺,医疗保健服务;医药保健销售店;医疗保健用品,117.18670724004932,39.140871036154834
君诚口腔(鼓楼院区),医疗保健服务;专科医院;口腔医院,117.17553824891881,39.14212645189425
中共长庚耳鼻喉医院支部委员会,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18984785581523,39.153368810381096
郁美净(水阁大街),医疗保健服务;医药保健销售店;医疗保健用品,117.18544315628358,39.1403721725255
景轩堂大药房,医疗保健服务;医药保健销售店;药房,117.19068628701922,39.152739562064475
老百姓大药房(金庭道店),医疗保健服务;医药保健销售店;药房,117.19273107159718,39.14833749499649
老百姓大药房(北开大街店),医疗保健服务;医药保健销售店;药房,117.17491065598624,39.15342853012136
天津微尔美口腔,医疗保健服务;专科医院;口腔医院,117.17415433841506,39.15275853759109
